ref,bom_id,value,description,board_region,assembly_status,schematic_symbol_strategy,footprint_field,mechanical_package,body_size_mm,freeze_status,footprint_status,not_for_fab_required,3d_model_status,source_document,source_page,gate_or_next_action
C2,C032-Cv,0.1uF,BQ2970 VDD-VSS decoupling (DNP with protection).,L-Temple AON/Power Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:C_0402,AI_Glasses_V2:C_0402,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Per BQ2970 app
R23,C032-Rm,2k,BQ2970 V- sense R — to pack GND (DNP with protection).,L-Temple AON/Power Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Per BQ2970 app (V- sense)
RT1,C033a,10k NTC (R cell),Right cell temperature — 10k NTC at the cell into nPM1300 NTC/AON ADC. Per-cell NTC (§15).,Temple Rears (batt/spkr/ant),Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,0402 or film probe,TBD,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,NTC curve matched to nPM1300 charger config
RT2,C033b,10k NTC (L cell),Left cell temperature — 10k NTC at the cell into nPM1300 NTC/AON ADC.,Temple Rears (batt/spkr/ant),Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,0402 or film probe,TBD,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,NTC curve matched to nPM1300 charger config
TP2,C033-TP,Battery test points,"Battery Kelvin test points — Cell-L+, Cell-R+, Pack+, Cell-neg, both NTCs for pairing / current-share / temperature verification.",Temple Rears (batt/spkr/ant),Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:TestPad_Set,AI_Glasses_V2:TestPad_Set,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Cell/pack voltage + NTC probe access (§21)
J1,C034,Magnetic pogo 4-6p,"Charge/data interface — magnetic pogo (5 V charge, optional USB2). Thinner + more waterproof than a temple USB-C.",Temple Rears (batt/spkr/ant),TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_POGO,target about 10 x 3 mm,10.0 x 3.0 x TBD mm,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"Magnet direction, sweat corrosion, short, cycle life"
J2,C035,USB-C 16p USB2-only,EVT USB-C — 5 V sink + USB2 OTG (no USB3/DP). For MaskROM/ADB/firmware/lab supply.,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:USB_C_16P_MidMount,AI_Glasses_V2:USB_C_16P_MidMount,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Connector height + shell opening co-freeze
U24,C036,TPD2E001,USB2 ESD — low-cap ESD on D+/D- near the connector.,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Package_TO_SOT_SMD:SOT-23-3,Package_TO_SOT_SMD:SOT-23-3,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Keep ~90 ohm diff + continuous ref gnd
R1,C037a,5.1k 1%,USB-C CC1 Rd — 5.1k 1% sink pulldown. LOCK value + 1% (V1 audit rule).,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,USB-C spec
R2,C037b,5.1k 1%,USB-C CC2 Rd — 5.1k 1% sink pulldown.,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,USB-C spec
J3,C038,Hirose FH26W 0.3mm FPC,Front<->temple high-speed FPC — carries MIPI CSI + PDM + I2C + control + camera power + GND across to the compute/AON boards. Documents the hinge-FPC pin list.,Front Sensor Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_FPC_FH26W,"0.3 mm pitch, 1.0 mm height, bottom-contact/front-flip ZIF",12.0 x 3.5 x 1.0 mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G12 (pin count from final cam lane/mic/power split)
J4,C039,Custom hinge FPC 6-10mm,"Hinge FPC (L<->R) — carries battery power path, AON UART, control lines and GND between the two temples. Enables the split-and-fold structure.",Temple Rears (batt/spkr/ant),HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_HINGE_FPC,0.10-0.18 mm target thickness,TBD x 6-10 x 0.10-0.18 mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"G12 (impedance, bend radius, life, hinge interference)"
J5,C040,U.FL / I-PEX MHF,"Micro RF connector — 50 ohm, Wi-Fi & BLE antenna debug/attach for EVT.",Temple Rears (batt/spkr/ant),Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Connector height + mating life
TP1,C041,UART/SWD pogo pads,UART/SWD test pads — RK3576 UART0 + nRF SWD + GND/VREF for bring-up (no connector height).,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:TestPad_Set,AI_Glasses_V2:TestPad_Set,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Voltage domain clearly labelled (no 3.3V into 1.8V IO)
SW1,C042a,Power/PWRKEY,Power key — RK3576 PWRON via AON/PMIC.,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,First chip-down must recover from boot failure
SW2,C042b,Reset,Reset key — RK3576 RESET_n.,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Bring-up
SW3,C042c,MaskROM/Recovery,MaskROM/recovery key — force USB recovery boot.,EVT Debug Tail,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Bring-up (recover from bad boot)
RS4,C044-RSOC,10 mohm 1%,RK3576 island shunt — VSYS -> SOC_IN (I_SOC_5V).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0805_shunt,AI_Glasses_V2:R_0805_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,5-20 mohm (2A x 10m=20mV; avoid boost UVLO)
RS5,C044-RWIFI,50 mohm 1%,Wi-Fi island shunt — VSYS -> WIFI_IN (I_WIFI).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0603_shunt,AI_Glasses_V2:R_0603_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,20-100 mohm
RS6,C044-RAUD,50 mohm 1%,Audio island shunt — VSYS -> AUDIO_IN (I_AUDIO).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0603_shunt,AI_Glasses_V2:R_0603_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,20-100 mohm
RS7,C044-RC1,100 mohm 1%,Camera DVDD shunt — CAM_1V1 -> CAM_1V1_S (I_CAM_1V1).,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0603_shunt,AI_Glasses_V2:R_0603_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Per-rail Kelvin (§23/§29); DVDD ~250mA
RS8,C044-RC8,100 mohm 1%,Camera IOVDD shunt — CAM_1V8_SW -> CAM_1V8_S (I_CAM_1V8).,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402_shunt,AI_Glasses_V2:R_0402_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Per-rail Kelvin (§23/§29); IOVDD ~3mA
RS9,C044-RC29,100 mohm 1%,Camera AVDD shunt — CAM_2V9 -> CAM_2V9_S (I_CAM_2V9).,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0603_shunt,AI_Glasses_V2:R_0603_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Per-rail Kelvin (§23/§29); AVDD ~156mA
U25,C044a,INA238 (I_BAT_TOTAL),"Whole-device current across RS1 (BAT_P->VBAT). Deep Off total = AON only, so it also backs the AON 20-50 mW check; nPM1300 fuel gauge cross-checks.",L-Temple AON/Power Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,VSSOP-10,3.0 x 4.9 x TBD mm,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Power Gate — EVT-A; production may keep this one
U26,C044-ICL,INA238 (I_CELL_L),Left branch current across RS2 — cell current-share vs SOC/temp.,Temple Rears (batt/spkr/ant),DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only (current-share)
U27,C044-ICR,INA238 (I_CELL_R),Right branch current across RS3 — cell current-share vs SOC/temp.,Temple Rears (batt/spkr/ant),DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only (current-share)
U28,C044c,INA238 (I_SOC_5V),RK3576 island monitor across RS4 — record/AI curves + wake energy.,R-Temple Compute Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only
U29,C044e,INA238 (I_WIFI),Wi-Fi island monitor across RS5 — FCU760K TX avg vs 353mA peak.,R-Temple Compute Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only
U30,C044f,INA238 (I_AUDIO),Audio island monitor across RS6 — speech avg vs music peak.,R-Temple Compute Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only
U31,C044-IC1,INA238 (I_CAM_1V1),Camera DVDD monitor across RS7 — sensor core draw + off-leakage.,Front Sensor Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only
U32,C044-IC8,INA238 (I_CAM_1V8),Camera IOVDD monitor across RS8 — I/O draw + off-leakage.,Front Sensor Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only
U33,C044-IC29,INA238 (I_CAM_2V9),Camera AVDD monitor across RS9 — analog draw + off-leakage.,Front Sensor Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VSSOP-10,AI_Glasses_V2:VSSOP-10,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Power Gate — EVT-A only
R11,C046a,100k,SOC_PWR_EN pull-down — RK3576 boost default OFF (main SoC off at boot).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R12,C046b,100k,PMIC_PWRON pull-down — RK806 stays off until AON MCU sequences it.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R13,C046c,100k,CAM_1V1_EN pull-down — camera core buck default OFF.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R14,C046d,100k,CAM_1V8_EN pull-down — camera I/O load switch default OFF.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R15,C046e,100k,CAM_2V9_EN pull-down — camera analog LDO default OFF.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R16,C046f,100k,WIFI_BUCK_EN pull-down — Wi-Fi buck default OFF.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R17,C046g,100k,WIFI_LS_EN pull-down — Wi-Fi load switch default OFF.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R18,C046h,100k,WIFI_CHIP_EN pull-down — FCU760K held off until AON MCU enables it (pack §9).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4/§9: FCU760K CHIP_EN default low)
R19,C046i,100k,AUDIO_LS_EN pull-down — audio amp load switch default OFF.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R20,C046j,100k,AUDIO_AMP_SD pull-down — MAX98360A shutdown default (amp muted at boot).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Default OFF (§4)
R3,C045a,2.2k 1%,AON I2C SCL pull-up to AON_1V8 (nPM1300/BMI270/INA238 bus).,L-Temple AON/Power Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Confirm vs total AON bus capacitance
R4,C045b,2.2k 1%,AON I2C SDA pull-up to AON_1V8.,L-Temple AON/Power Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Confirm vs total AON bus capacitance
R5,C045c,2.2k 1%,Camera I2C SCL pull-up to CAM_1V8_SW.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Confirm vs camera bus capacitance
R6,C045d,2.2k 1%,Camera I2C SDA pull-up to CAM_1V8_SW.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Confirm vs camera bus capacitance
R9,C045e,2.2k 1%,SoC-PMIC I2C SCL pull-up to VCCIO_1V8 (RK3576<->RK806).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Confirm vs SoC PMIC bus
R10,C045f,2.2k 1%,SoC-PMIC I2C SDA pull-up to VCCIO_1V8.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Confirm vs SoC PMIC bus
