net,signal_name,kind,domain,direction,source,destination,default_state,pull,diff_pair,cross_domain,isolation,layout_rule,esd,endpoint_count,boards,endpoints,note
SOC_IN,SOC IN,power,Vbat,source->loads,RS4 from VSYS,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,4,R-Temple Compute Board,U6.VIN=TPS61088; L1.A=Boost inductor (TBD); RS4.B=10 mohm 1%; U28.IN_N=INA238 (I_SOC_5V),derived from endpoints; verify at the owning gate
SOC_BOOST_SW,SOC BOOST SW,signal,TBD,see endpoints,U6.SW (R-Temple Compute Board),L1.B (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U6.SW=TPS61088; L1.B=Boost inductor (TBD),derived from endpoints; verify at the owning gate
SOC_PWR_EN,"SoC 5V boost enable, active high",control,1.8V,nRF->boost,nRF,boost,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U6.EN=TPS61088; U7.SOC_PWR_EN=nRF54L15-QFN48; J4.SOC_PWR_EN=Custom hinge FPC 6-10mm; R11.A=100k,100k pulldown
SOC_5V_PGOOD,"SoC 5V boost power-good, active high",control,1.8V,boost->nRF,boost,nRF,low,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U6.PG=TPS61088; U7.SOC_5V_PGOOD=nRF54L15-QFN48; J4.SOC_5V_PGOOD=Custom hinge FPC 6-10mm,power-good in
WIFI_VBAT_3V3,WIFI VBAT 3V3,power,3.3V,source->loads,TPS22917 Wi-Fi load-switch output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U11.VBAT=FCU760KAAMD; U13.VOUT=TPS22917DBVR; C1.A=47uF 6.3V X5R,"FCU760K VBAT, load-switched"
WIFI_CHIP_EN,"FCU760K chip enable, active high",control,3.3V,nRF->FCU760K,nRF,FCU760K,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board,U11.CHIP_EN=FCU760KAAMD; U7.WIFI_CHIP_EN=nRF54L15-QFN48; R18.A=100k,100k pulldown; module off default (pack §9)
WIFI_ANT,Wi-Fi/BT shared RF antenna feed,analog,RF,see endpoints,U11.ANT_WIFI_BT (R-Temple Compute Board),J7.ANT (Temple Rears (batt/spkr/ant)); J5.SIG (Temple Rears (batt/spkr/ant)),-,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"50 ohm controlled impedance, pi-match, antenna keep-out",RF-approved only if required,3,R-Temple Compute Board; Temple Rears (batt/spkr/ant),U11.ANT_WIFI_BT=FCU760KAAMD; J7.ANT=Wi-Fi 2.4/5 GHz FPC ant; J5.SIG=U.FL / I-PEX MHF,50R; pi-match; keep-out; away from battery/magnet/hinge
WIFI_IN,WIFI IN,power,Vbat,source->loads,RS5 from VSYS,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U12.VIN=TPS62825; RS5.B=50 mohm 1%; U29.IN_N=INA238 (I_WIFI),derived from endpoints; verify at the owning gate
WIFI_BUCK_SW,WIFI BUCK SW,signal,TBD,see endpoints,U12.SW (R-Temple Compute Board),L2.A (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U12.SW=TPS62825; L2.A=Wi-Fi buck inductor (TBD),derived from endpoints; verify at the owning gate
WIFI_BUCK_EN,WIFI BUCK EN,control,1.8V,nRF->buck,nRF,buck,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U12.EN=TPS62825; U7.WIFI_BUCK_EN=nRF54L15-QFN48; J4.WIFI_BUCK_EN=Custom hinge FPC 6-10mm; R16.A=100k,100k pulldown
WIFI_3V3,WIFI 3V3,power,3.3V,source->loads,TPS62825 output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U12.VOUT=TPS62825; L2.B=Wi-Fi buck inductor (TBD); U13.VIN=TPS22917DBVR,"TPS62825 buck, gated"
WIFI_LS_EN,WIFI LS EN,control,1.8V,nRF->LSW,nRF,LSW,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board,U13.EN=TPS22917DBVR; U7.WIFI_LS_EN=nRF54L15-QFN48; R17.A=100k,100k pulldown
AON_1V8,AON 1V8,power,1.8V,source->loads,nPM1300 BUCK1,loads,on,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,9,Front Sensor Board; L-Temple AON/Power Board,U7.VDD_1V8=nRF54L15-QFN48; U8.BUCK1=nPM1300; U9.VDD_1V8=NDP120; U10.VDD=BMI270; U10.VDDIO=BMI270; U17.VIN=TPS22917DBVR; J3.AON_1V8=Hirose FH26W 0.3mm FPC; R3.A=2.2k 1%; R4.A=2.2k 1%,always-on nPM1300 BUCK1
AON_3V3,AON 3V3,power,3.3V,source->loads,nPM1300 BUCK2,loads,on,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,7,Front Sensor Board; L-Temple AON/Power Board,U7.VDD_3V3=nRF54L15-QFN48; U8.BUCK2=nPM1300; U9.VDD_3V3=NDP120; MK1.VDD=T5837 (wake mic); MK2.VDD=T5837 (array mic 1); MK3.VDD=T5837 (array mic 2); J3.AON_3V3=Hirose FH26W 0.3mm FPC,always-on nPM1300 BUCK2
BLE_ANT,BLE RF antenna feed,analog,RF,see endpoints,U7.ANT (L-Temple AON/Power Board),J6.ANT (Temple Rears (batt/spkr/ant)),-,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"50 ohm controlled impedance, pi-match, antenna keep-out",RF-approved only if required,2,L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),U7.ANT=nRF54L15-QFN48; J6.ANT=BLE 2.4 GHz FPC/PCB ant,50R; separated from Wi-Fi antenna
CAM_1V1_EN,CAM 1V1 EN,control,1.8V,nRF->buck,nRF,buck,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,Front Sensor Board; L-Temple AON/Power Board,U7.CAM_1V1_EN=nRF54L15-QFN48; U15.EN=TPS62840; J3.CAM_1V1_EN=Hirose FH26W 0.3mm FPC; R13.A=100k,100k pulldown
CAM_1V8_EN,CAM 1V8 EN,control,1.8V,nRF->LSW,nRF,LSW,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,Front Sensor Board; L-Temple AON/Power Board,U7.CAM_1V8_EN=nRF54L15-QFN48; U17.EN=TPS22917DBVR; J3.CAM_1V8_EN=Hirose FH26W 0.3mm FPC; R14.A=100k,100k pulldown
CAM_2V9_EN,CAM 2V9 EN,control,1.8V,nRF->LDO,nRF,LDO,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,Front Sensor Board; L-Temple AON/Power Board,U7.CAM_2V9_EN=nRF54L15-QFN48; U16.EN=TLV75529PDRVR; J3.CAM_2V9_EN=Hirose FH26W 0.3mm FPC; R15.A=100k,100k pulldown
AUDIO_LS_EN,AUDIO LS EN,control,1.8V,nRF->LSW,nRF,LSW,low (OFF),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,4,L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U7.AUDIO_LS_EN=nRF54L15-QFN48; U21.EN=TPS22917DBVR; J4.AUDIO_LS_EN=Custom hinge FPC 6-10mm; R19.A=100k,100k pulldown
AUDIO_AMP_SD,AUDIO AMP SD,control,Vbat,nRF->amp,nRF,amp,low (muted),100k pulldown (R11-R20),no,yes,required: default-safe pull + leakage/reverse-feed check,keep away from SW nodes; verify default pull before MCU boot,no / TBD,3,L-Temple AON/Power Board; R-Temple Compute Board,U7.AMP_SD=nRF54L15-QFN48; U20.SD_MODE=MAX98360A; R20.A=100k,100k pulldown
I2C_AON_SCL,I2C AON SCL,bus,1.8V,controller->targets,controller,targets,pull-up 2.2k,2.2k to AON_1V8 (R3/R4),no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,14,Front Sensor Board; L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U7.I2C_SCL=nRF54L15-QFN48; U8.I2C_SCL=nPM1300; U10.SCL=BMI270; U22.SCL=DRV2605L; U25.SCL=INA238 (I_BAT_TOTAL); U26.SCL=INA238 (I_CELL_L); U27.SCL=INA238 (I_CELL_R); U28.SCL=INA238 (I_SOC_5V); U29.SCL=INA238 (I_WIFI); U30.SCL=INA238 (I_AUDIO); U31.SCL=INA238 (I_CAM_1V1); U32.SCL=INA238 (I_CAM_1V8); U33.SCL=INA238 (I_CAM_2V9); R3.B=2.2k 1%,nPM1300/BMI270/INA238
I2C_AON_SDA,I2C AON SDA,bus,1.8V,bidirectional open-drain,U7.I2C_SDA (L-Temple AON/Power Board),U8.I2C_SDA (L-Temple AON/Power Board); U10.SDA (L-Temple AON/Power Board); U22.SDA (L-Temple AON/Power Board); U25.SDA (L-Temple AON/Power Board); U26.SDA (Temple Rears (batt/spkr/ant)); U27.SDA (Temple Rears (batt/spkr/ant)); U28.SDA (R-Temple Compute Board); U29.SDA (R-Temple Compute Board); U30.SDA (R-Temple Compute Board); U31.SDA (Front Sensor Board); U32.SDA (Front Sensor Board); U33.SDA (Front Sensor Board); R4.B (L-Temple AON/Power Board),pull-up 2.2k,2.2k to AON_1V8 (R3/R4),no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,14,Front Sensor Board; L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U7.I2C_SDA=nRF54L15-QFN48; U8.I2C_SDA=nPM1300; U10.SDA=BMI270; U22.SDA=DRV2605L; U25.SDA=INA238 (I_BAT_TOTAL); U26.SDA=INA238 (I_CELL_L); U27.SDA=INA238 (I_CELL_R); U28.SDA=INA238 (I_SOC_5V); U29.SDA=INA238 (I_WIFI); U30.SDA=INA238 (I_AUDIO); U31.SDA=INA238 (I_CAM_1V1); U32.SDA=INA238 (I_CAM_1V8); U33.SDA=INA238 (I_CAM_2V9); R4.B=2.2k 1%,derived from endpoints; verify at the owning gate
PMIC_INT_L,PMIC INT L,control,1.8V unless final pinmux says otherwise,see endpoints,U7.PMIC_INT_L (L-Temple AON/Power Board),U8.INT (L-Temple AON/Power Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.PMIC_INT_L=nRF54L15-QFN48; U8.INT=nPM1300,derived from endpoints; verify at the owning gate
PMIC_SHPHLD,PMIC SHPHLD,control,1.8V unless final pinmux says otherwise,see endpoints,U7.PMIC_SHPHLD (L-Temple AON/Power Board),U8.SHPHLD (L-Temple AON/Power Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.PMIC_SHPHLD=nRF54L15-QFN48; U8.SHPHLD=nPM1300,derived from endpoints; verify at the owning gate
IMU_INT1,IMU INT1,signal,TBD,see endpoints,U7.IMU_INT1 (L-Temple AON/Power Board),U10.INT1 (L-Temple AON/Power Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board,U7.IMU_INT1=nRF54L15-QFN48; U10.INT1=BMI270,derived from endpoints; verify at the owning gate
IMU_INT2,IMU INT2,signal,TBD,see endpoints,U7.IMU_INT2 (L-Temple AON/Power Board),U10.INT2 (L-Temple AON/Power Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board,U7.IMU_INT2=nRF54L15-QFN48; U10.INT2=BMI270,derived from endpoints; verify at the owning gate
DSP_SPI_SCK,DSP SPI SCK,bus,1.8V unless final pinmux says otherwise,owner->peer,owner,peer,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board,U7.DSP_SCK=nRF54L15-QFN48; U9.HOST_SCK=NDP120,derived from endpoints; verify at the owning gate
DSP_SPI_MOSI,DSP SPI MOSI,bus,1.8V unless final pinmux says otherwise,owner->peer,owner,peer,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board,U7.DSP_MOSI=nRF54L15-QFN48; U9.HOST_MOSI=NDP120,derived from endpoints; verify at the owning gate
DSP_SPI_MISO,DSP SPI MISO,bus,1.8V unless final pinmux says otherwise,peer->owner,peer,owner,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board,U7.DSP_MISO=nRF54L15-QFN48; U9.HOST_MISO=NDP120,derived from endpoints; verify at the owning gate
DSP_SPI_CS_n,DSP SPI CS n,bus,1.8V unless final pinmux says otherwise,owner->peer,owner,peer,TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board,U7.DSP_CS_n=nRF54L15-QFN48; U9.HOST_CS_n=NDP120,derived from endpoints; verify at the owning gate
DSP_WAKE,NDP120 wake interrupt to nRF,control,1.8V,NDP120->nRF,NDP120,nRF,low,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.DSP_WAKE=nRF54L15-QFN48; U9.WAKE=NDP120,wake IRQ
DSP_READY,NDP120 ready indication,control,1.8V,NDP120->nRF,NDP120,nRF,low,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.DSP_READY=nRF54L15-QFN48; U9.READY=NDP120,derived from endpoints; verify at the owning gate
DSP_FAULT,NDP120 fault indication,control,1.8V,NDP120->nRF,NDP120,nRF,low,none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.DSP_FAULT=nRF54L15-QFN48; U9.FAULT=NDP120,derived from endpoints; verify at the owning gate
DSP_RESET_L,"NDP120 reset, active low",control,1.8V,nRF->NDP120,nRF,NDP120,low (reset),none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.DSP_RST_n=nRF54L15-QFN48; U9.RESET_n=NDP120,active low
HAPTIC_EN,HAPTIC EN,control,1.8V unless final pinmux says otherwise,see endpoints,U7.HAPTIC_EN (L-Temple AON/Power Board),U22.EN (L-Temple AON/Power Board),low (OFF),none / TBD,no,no,not a power-domain crossing,keep away from SW nodes; verify default pull before MCU boot,no / TBD,2,L-Temple AON/Power Board,U7.HAPTIC_EN=nRF54L15-QFN48; U22.EN=DRV2605L,derived from endpoints; verify at the owning gate
NRF_SWDIO,NRF SWDIO,bus,1.8V unless final pinmux says otherwise,see endpoints,U7.SWDIO (L-Temple AON/Power Board),TP1.SWDIO (EVT Debug Tail),TBD at pinmux freeze,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,2,EVT Debug Tail; L-Temple AON/Power Board,U7.SWDIO=nRF54L15-QFN48; TP1.SWDIO=UART/SWD pogo pads,derived from endpoints; verify at the owning gate
NRF_SWDCLK,NRF SWDCLK,bus,1.8V unless final pinmux says otherwise,see endpoints,U7.SWDCLK (L-Temple AON/Power Board),TP1.SWDCLK (EVT Debug Tail),TBD at pinmux freeze,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,2,EVT Debug Tail; L-Temple AON/Power Board,U7.SWDCLK=nRF54L15-QFN48; TP1.SWDCLK=UART/SWD pogo pads,derived from endpoints; verify at the owning gate
NPM_VBAT,NPM VBAT,power,Vbat,source->loads,RS1 pack-total shunt,loads,live,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,L-Temple AON/Power Board,U8.VBAT=nPM1300; RS1.B=10 mohm 1% 1W; U25.IN_N=INA238 (I_BAT_TOTAL),nPM1300 VBAT (after RS1 total shunt)
USB_5V,USB 5V,power,5V,source->loads,USB-C or magnetic pogo VBUS,loads,ext,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,VBUS ESD/OV strategy required,3,EVT Debug Tail; L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),U8.VBUS=nPM1300; J1.VBUS=Magnetic pogo 4-6p; J2.VBUS=USB-C 16p USB2-only,VBUS present only when charging
VSYS,VSYS,power,Vbat,source->loads,nPM1300 power-path output,loads,live,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,12,Front Sensor Board; L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U8.VSYS=nPM1300; U15.VIN=TPS62840; U16.VIN=TLV75529PDRVR; U22.VDD=DRV2605L; J3.VSYS=Hirose FH26W 0.3mm FPC; J4.VSYS=Custom hinge FPC 6-10mm; RS4.A=10 mohm 1%; RS5.A=50 mohm 1%; RS6.A=50 mohm 1%; U28.IN_P=INA238 (I_SOC_5V); U29.IN_P=INA238 (I_WIFI); U30.IN_P=INA238 (I_AUDIO),nPM1300 power-path system node
AON_LSW2,AON LSW2,power,TBD,source->loads,nPM1300 load switch 2,loads,on/live in AON mode,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,Front Sensor Board; L-Temple AON/Power Board,U8.LSW2=nPM1300; MK4.VDD=T5837 (4th mic),derived from endpoints; verify at the owning gate
NTC_R,NTC R,analog,analog,see endpoints,U8.NTC_R (L-Temple AON/Power Board),RT1.A (Temple Rears (batt/spkr/ant)); TP2.NTC_R (Temple Rears (batt/spkr/ant)),-,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,3,L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),U8.NTC_R=nPM1300; RT1.A=10k NTC (R cell); TP2.NTC_R=Battery test points,per-cell NTC (§15)
NTC_L,NTC L,analog,analog,see endpoints,U8.NTC_L (L-Temple AON/Power Board),RT2.A (Temple Rears (batt/spkr/ant)); TP2.NTC_L (Temple Rears (batt/spkr/ant)),-,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,3,L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),U8.NTC_L=nPM1300; RT2.A=10k NTC (L cell); TP2.NTC_L=Battery test points,per-cell NTC (§15)
PDM_WAKE_CLK,Dedicated wake-mic PDM clock,bus,AON,NDP120->mic,NDP120,mic,off,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"short clock, continuous ground; keep out of boost/SW/RF zones",no / TBD,3,Front Sensor Board; L-Temple AON/Power Board,U9.PDM_CLK=NDP120; MK1.CLK=T5837 (wake mic); J3.PDM_WAKE_CLK=Hirose FH26W 0.3mm FPC,wake mic PDM; 0R/22R debug pos; single master
PDM_WAKE_DATA,Dedicated wake-mic PDM data,bus,1.8V unless final pinmux says otherwise,wake mic->NDP120,wake mic,NDP120,TBD at pinmux freeze,none / TBD,no,yes,required: default-safe pull + leakage/reverse-feed check,"short clock, continuous ground; keep out of boost/SW/RF zones",no / TBD,3,Front Sensor Board; L-Temple AON/Power Board,U9.PDM_DATA=NDP120; MK1.DATA=T5837 (wake mic); J3.PDM_WAKE_DATA=Hirose FH26W 0.3mm FPC,derived from endpoints; verify at the owning gate
CAM_1V1_S,CAM 1V1 S,power,1.1V,source->loads,RS7 Kelvin sense output to camera DVDD,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,Front Sensor Board,U14.DVDD_1V1=IMX415-AAQR module (custom FPC); RS7.B=100 mohm 1%; U31.IN_N=INA238 (I_CAM_1V1),derived from endpoints; verify at the owning gate
CAM_1V8_S,CAM 1V8 S,power,1.8V,source->loads,RS8 Kelvin sense output to camera IOVDD,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,Front Sensor Board,U14.IOVDD_1V8=IMX415-AAQR module (custom FPC); RS8.B=100 mohm 1%; U32.IN_N=INA238 (I_CAM_1V8),derived from endpoints; verify at the owning gate
CAM_2V9_S,CAM 2V9 S,power,2.9V,source->loads,RS9 Kelvin sense output to camera AVDD,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,Front Sensor Board,U14.AVDD_2V9=IMX415-AAQR module (custom FPC); RS9.B=100 mohm 1%; U33.IN_N=INA238 (I_CAM_2V9),derived from endpoints; verify at the owning gate
CAM_1V1_SW,CAM 1V1 SW,signal,1.1V,see endpoints,U15.SW (Front Sensor Board),L3.A (Front Sensor Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,Front Sensor Board,U15.SW=TPS62840; L3.A=Cam 1V1 buck inductor (TBD),derived from endpoints; verify at the owning gate
CAM_1V1,CAM 1V1,power,1.1V,source->loads,TPS62840 output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,4,Front Sensor Board,U15.VOUT=TPS62840; L3.B=Cam 1V1 buck inductor (TBD); RS7.A=100 mohm 1%; U31.IN_P=INA238 (I_CAM_1V1),IMX415 DVDD
CAM_2V9,CAM 2V9,power,2.9V,source->loads,TLV75529 output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,Front Sensor Board,U16.VOUT=TLV75529PDRVR; RS9.A=100 mohm 1%; U33.IN_P=INA238 (I_CAM_2V9),IMX415 AVDD
CAM_1V8_SW,CAM 1V8 SW,power,1.8V,source->loads,TPS22917 camera I/O load-switch output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,5,Front Sensor Board,U17.VOUT=TPS22917DBVR; RS8.A=100 mohm 1%; U32.IN_P=INA238 (I_CAM_1V8); R5.A=2.2k 1%; R6.A=2.2k 1%,IMX415 IOVDD
AUDIO_PWR,AUDIO PWR,power,Vbat,source->loads,TPS22917 audio load-switch output,loads,off,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,R-Temple Compute Board,U20.VDD=MAX98360A; U21.VOUT=TPS22917DBVR,"Class-D amp, gated"
SPK_P,SPK P,diff,TBD,see endpoints,U20.OUT_P (R-Temple Compute Board),LS1.P (Temple Rears (batt/spkr/ant)),hi-Z when source domain is off,none / TBD,SPK_N,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board; Temple Rears (batt/spkr/ant),U20.OUT_P=MAX98360A; LS1.P=8 ohm 0.5-1 W speaker,derived from endpoints; verify at the owning gate
SPK_N,SPK N,diff,TBD,see endpoints,U20.OUT_N (R-Temple Compute Board),LS1.N (Temple Rears (batt/spkr/ant)),hi-Z when source domain is off,none / TBD,SPK_P,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board; Temple Rears (batt/spkr/ant),U20.OUT_N=MAX98360A; LS1.N=8 ohm 0.5-1 W speaker,derived from endpoints; verify at the owning gate
AUDIO_IN,AUDIO IN,power,Vbat,source->loads,RS6 from VSYS,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U21.VIN=TPS22917DBVR; RS6.B=50 mohm 1%; U30.IN_N=INA238 (I_AUDIO),derived from endpoints; verify at the owning gate
HAPTIC_P,HAPTIC P,diff,TBD,see endpoints,U22.OUT_P (L-Temple AON/Power Board),M1.P (Temple Rears (batt/spkr/ant)),hi-Z when source domain is off,none / TBD,HAPTIC_N,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),U22.OUT_P=DRV2605L; M1.P=LRA/ERM motor,derived from endpoints; verify at the owning gate
HAPTIC_N,HAPTIC N,diff,TBD,see endpoints,U22.OUT_N (L-Temple AON/Power Board),M1.N (Temple Rears (batt/spkr/ant)),hi-Z when source domain is off,none / TBD,HAPTIC_P,yes,required: default-safe pull + leakage/reverse-feed check,standard layout; verify at pinmux/placement,no / TBD,2,L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),U22.OUT_N=DRV2605L; M1.N=LRA/ERM motor,derived from endpoints; verify at the owning gate
BATR_P,BATR P,power,Vbat,source->loads,right LP451165 cell,loads,on/live in AON mode,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,Temple Rears (batt/spkr/ant),BT1.+=LP451165 300mAh (R); F1.A=PTC/fuse (R branch); TP2.CELL_R=Battery test points,derived from endpoints; verify at the owning gate
CELL_NEG,CELL NEG,power,Vbat,source->loads,source,loads,live,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,7,L-Temple AON/Power Board; Temple Rears (batt/spkr/ant),BT1.-=LP451165 300mAh (R); BT2.-=LP451165 300mAh (L); R21.A=0R (pack-PCM baseline); U23.VSS=BQ2970; Q1.D_CELL=Dual N-MOSFET (b2b); C2.B=0.1uF; TP2.CELL_NEG=Battery test points,cells- ; 0R bypass OR protection FETs (§17)
BATL_P,BATL P,power,Vbat,source->loads,left LP451165 cell,loads,on/live in AON mode,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,Temple Rears (batt/spkr/ant),BT2.+=LP451165 300mAh (L); F2.A=PTC/fuse (L branch); TP2.CELL_L=Battery test points,derived from endpoints; verify at the owning gate
