functional_block,reference_designator,bom_id,manufacturer,exact_mpn,description,board_region,assembly_status,package,body_length_mm,body_width_mm,body_height_mm,land_pattern,courtyard,keepout,pin_pitch,mass_g,operating_voltage,typical_power,peak_power,thermal_notes,placement_notes,source_document,source_revision,source_page,source_url_or_file,confidence,freeze_status,schematic_status,footprint_status,3d_model_status,next_action
total pack current shunt,RS1,C044-RBAT,TBD,10 milliohm 1% 1 W shunt TBD,Pack total shunt — BAT_P -> nPM1300 VBAT. Whole-device current (charge + discharge).,L-Temple AON/Power Board,Fit,1206 shunt candidate,,,,AI_Glasses_V2:R_1206_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,BAT_P/NPM_VBAT Kelvin sense,I^2R loss,sized for pack current,TBD after thermal review,"Production-kept sense path; MPN, TCR, surge and pad geometry still need freeze.",Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,I_BAT_TOTAL; the one production-kept sense path
IMU,U10,C012,Bosch Sensortec,BMI270,6-axis IMU — low-power motion detect; motion-interrupt wakes the MCU. Cycling/running state ID for wearables.,L-Temple AON/Power Board,Fit,LGA-14,2.5,3.0,0.8,Package_LGA:LGA-14_2.5x3mm_P0.5mm,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,AON_1V8/AON_3V3,1 mW low-power motion budget,TBD by IMU mode,TBD after thermal review,Current schematic uses BMI270. Placement must avoid speaker/motor vibration and high-stress zones.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Evaluate false-trigger under real frame vibration
L-Temple AON/Power Board,U22,C027,TBD,DRV2605L,"Haptic driver — LRA/ERM driver, I2C, waveform library. Silent safety reminder path.",L-Temple AON/Power Board,DNP,Package_SO:MSOP-10_3x3mm_P0.5mm,,,,Package_SO:MSOP-10_3x3mm_P0.5mm,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Vibration P1 — may DNP on first board (IMU/mic coupling)
optional 1S battery protection IC,U23,C032,Texas Instruments,BQ2970/BQ297xx suffix TBD,"1S protection IC (fallback) — OV/UV/OC/short via two low-side back-to-back NMOS. DNP if the supplier pack integrates protection (avoid double-protection conflict, §17).",L-Temple AON/Power Board,DNP,DSE WSON-6,1.5,1.5,0.75,Package_TO_SOT_SMD:SOT-23-5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,single-cell Li-ion protection,"4 uA normal, 100 nA shutdown class",external FET path handles current,TBD after thermal review,DNP if supplier pack has qualified PCM. Exact suffix thresholds must match cell and nPM1300 charger.,TI BQ297xx Datasheet SLUSBU9I,"March 2014, revised August 2024","pp. 1, 3, package outline",AI_Glasses_HOLD_Closure_Pack/03_Battery_LP451165_1S2P/TI_BQ2970_1S_Protection_Datasheet.pdf,high for IC; exact suffix still TBD,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Keep ONE protection scheme; confirm suffix OVP/UVP/OCP vs nPM1300/boost UVLO (§17)
optional total-current monitor,U25,C044a,Texas Instruments,INA238,"Whole-device current across RS1 (BAT_P->VBAT). Deep Off total = AON only, so it also backs the AON 20-50 mW check; nPM1300 fuel gauge cross-checks.",L-Temple AON/Power Board,DNP,VSSOP-10,3.0,4.9,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,AON I2C / shunt monitor,640 uA class when populated,5 uA shutdown max class,TBD after thermal review,EVT-A only unless power telemetry stays in production.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A; production may keep this one
always-on BLE MCU,U7,C009,Nordic Semiconductor,nRF54L15 QFN48 candidate,"Low-power BLE MCU — ALWAYS ON. Owns the system state machine; controls RK3576/camera/Wi-Fi/audio power ENs; talks IMU/buttons/gauge; UART to RK3576, SPI to NDP120. Turns RK3576 from an always-on host into a demand accelerator.",L-Temple AON/Power Board,Fit,"QFN48, 0.4 mm pitch",6.0,6.0,0.85,AI_Glasses_V2:QFN-48_6x6,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,AON_1V8/AON_3V3,2-8 mW allocation depending state,radio peak TBD,TBD after thermal review,"EVT QFN chosen for bring-up. RF layout, SDK and official package drawing still must be checked before fab.",AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,EVT-frozen (RF layout/SDK/package to freeze early)
AON PMIC/charger/fuel gauge,U8,C010,Nordic Semiconductor,nPM1300,AON PMIC — 1S charger + Power-Path + Fuel Gauge + dual Buck + LDO/Load-Switch + Ship/Hibernate. Powers the small AON world ONLY; NOT the RK3576 peak path.,L-Temple AON/Power Board,HOLD,QFN32 5 x 5 mm EVT candidate,5.0,5.0,,AI_Glasses_V2:QFN_5x5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,BAT_P/USB_5V in; AON_1V8/AON_3V3 out,3-15 mW AON buck/quiescent allocation,charge/PMIC thermal TBD,TBD after thermal review,nPM PowerUP config and measured AON <=25/50 mW target must close G08.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,HOLD,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,G08 (AON <=25/50mW) — configure via nPM PowerUP on EK before board
always-on audio DSP,U9,C011,Syntiant,NDP120 QFN40 candidate,Always-on Audio DSP — ultra-low-power wake-word + audio front-end; wakes the MCU over GPIO. Moves voice listening off RK3576. Keep bypass + DNP capability.,L-Temple AON/Power Board,HOLD,"5 x 5 mm 40-pin QFN, 0.4 mm pitch; WLBGA also exists",5.0,5.0,,AI_Glasses_V2:VERIFY_QFN_5x5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,"AON rails, reset/wake to nRF54L15",12-20 mW project listening allocation,TBD by dev kit measurement,TBD after thermal review,"Product brief confirms packages and capability; full datasheet, rail map, reset straps, SDK/licensing and measured listening current still needed.",Syntiant NDP120 Product Brief,"V1, 2023",pp. 1-2,AI_Glasses_HOLD_Closure_Pack/01_NDP120/NDP120_Product_Brief.pdf,"medium; product brief, not full datasheet/package drawing",HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,Full datasheet + dev kit + measured listening power + NDA/licensing
R-Temple Compute Board,C1,C015-C,TBD,47uF 6.3V X5R,FCU760K VBAT bulk storage — 47 uF local reservoir next to the module (pack: 47uF + 1uF + 100nF). Rides the 353 mA TX burst.,R-Temple Compute Board,Fit,AI_Glasses_V2:C_0805,,,,AI_Glasses_V2:C_0805,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Local bulk per Quectel HW Design
main boost inductor,L1,C008,TBD,shielded low-DCR power inductor TBD,"Boost inductor for TPS61088 — low-DCR shielded, value per TPS61088 design. Do not freeze before transient sim/measurement.",R-Temple Compute Board,TBD,target <=5 x 5 x 2 mm,5.0,5.0,2.0,AI_Glasses_V2:VERIFY_L_5x5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,SOC_5V boost switch node,loss TBD by DCR/RMS current,Isat must cover boot/AI peak,TBD after thermal review,Target envelope only. Final MPN may grow after Isat/DCR/temperature validation.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,TBD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,G06/G13 (Isat covers boot+AI peak; height <=2mm; thermal)
Wi-Fi buck inductor,L2,C016c,TBD,470 nH class inductor TBD,"Wi-Fi buck inductor — SW->3V3, value per TPS62825 design.",R-Temple Compute Board,Fit,target 2 x 2 mm class,2.0,2.0,,AI_Glasses_V2:VERIFY_L_2x2,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,WIFI_3V3 buck,loss TBD,sized for FCU760K Tx current,TBD after thermal review,"MPN, DCR, Isat and height required.",AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,TBD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per TPS62825 peak+ripple
R-Temple Compute Board,R10,C045f,TBD,2.2k 1%,SoC-PMIC I2C SDA pull-up to VCCIO_1V8.,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Confirm vs SoC PMIC bus
R-Temple Compute Board,R11,C046a,TBD,100k,SOC_PWR_EN pull-down — RK3576 boost default OFF (main SoC off at boot).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
R-Temple Compute Board,R12,C046b,TBD,100k,PMIC_PWRON pull-down — RK806 stays off until AON MCU sequences it.,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
R-Temple Compute Board,R16,C046f,TBD,100k,WIFI_BUCK_EN pull-down — Wi-Fi buck default OFF.,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
R-Temple Compute Board,R17,C046g,TBD,100k,WIFI_LS_EN pull-down — Wi-Fi load switch default OFF.,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
R-Temple Compute Board,R18,C046h,TBD,100k,WIFI_CHIP_EN pull-down — FCU760K held off until AON MCU enables it (pack §9).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4/§9: FCU760K CHIP_EN default low)
R-Temple Compute Board,R19,C046i,TBD,100k,AUDIO_LS_EN pull-down — audio amp load switch default OFF.,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
R-Temple Compute Board,R20,C046j,TBD,100k,AUDIO_AMP_SD pull-down — MAX98360A shutdown default (amp muted at boot).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Default OFF (§4)
R-Temple Compute Board,R9,C045e,TBD,2.2k 1%,SoC-PMIC I2C SCL pull-up to VCCIO_1V8 (RK3576<->RK806).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Confirm vs SoC PMIC bus
R-Temple Compute Board,RS4,C044-RSOC,TBD,10 mohm 1%,RK3576 island shunt — VSYS -> SOC_IN (I_SOC_5V).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0805_shunt,,,,AI_Glasses_V2:R_0805_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,5-20 mohm (2A x 10m=20mV; avoid boost UVLO)
R-Temple Compute Board,RS5,C044-RWIFI,TBD,50 mohm 1%,Wi-Fi island shunt — VSYS -> WIFI_IN (I_WIFI).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0603_shunt,,,,AI_Glasses_V2:R_0603_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,20-100 mohm
R-Temple Compute Board,RS6,C044-RAUD,TBD,50 mohm 1%,Audio island shunt — VSYS -> AUDIO_IN (I_AUDIO).,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0603_shunt,,,,AI_Glasses_V2:R_0603_shunt,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,20-100 mohm
R-Temple Compute Board,RT3,C043,TBD,10k NTC B=3435,SoC/enclosure temp monitor — 10k NTC on SoC heat-spreader + skin side. Wearable must watch both die and skin temp.,R-Temple Compute Board,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Probe position per thermal sim
main compute SoC,U1,C001,Rockchip,RK3576,"Main SoC — 8-core, 6 TOPS NPU, ISP, MIPI CSI, H.264/265. Demand-started compute island (NOT always-on). Functional block: interface pins only.",R-Temple Compute Board,Fit,"FCCSP698L, 0.6 mm pitch",16.1,17.2,,AI_Glasses_V2:VERIFY_FCCSP698L_16x17,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,RK806S rails from SOC_5V,included in compute model,part of AI-burst compute row,TBD after thermal review,"Body outline known from project BOM/PDF; full datasheet, HDG, ball map, max height, DDR guide and official land pattern still required.",RK3576 Brief Datasheet file,"V1.2, 2024-03-11; PDF metadata title mismatch noted",pp. 1-3,AI_Glasses_HOLD_Closure_Pack/05_Project_References/RK3576 Brief Datasheet V1.2-20240311.pdf,medium; package/HDG/ball map still required,HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,G01 (RK3576 datasheet/HDG/ballmap/DDR guide)
Wi-Fi/Bluetooth module,U11,C015,Quectel,FCU760KAAMD,"Wi-Fi 6 + BT 5.4 module — Quectel FCU760K, LCC 13.0x12.2x2.0mm. USB2 to RK3576 host; PCM for BT audio; VBAT 3.0-3.6V (typ 3.3V), max TX 353 mA. On-demand, load-switched off.",R-Temple Compute Board,HOLD,LCC module,13.0,12.2,2.0,AI_Glasses_V2:VERIFY_LCC_13x12.2_Quectel,TBD; use official package drawing before layout,TBD; see placement notes,TBD,0.62,"VBAT 3.0-3.6 V, typ 3.3 V",radio average: 80-150 mW in current model,353 mA @ 3.3 V max Tx current in short spec,TBD after thermal review,"Module outline is known. Official hardware design guide, land pattern/3D and RK3576 driver enumeration still close G05.",Quectel FCU760K Short Specification,"V1.1, Released, 2024",pp. 1-3,AI_Glasses_HOLD_Closure_Pack/02_WiFi_FCU760K/Quectel_FCU760K_Short_Spec_V1.1.pdf,high for module outline and basic electrical data; land pattern still missing,HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,G05 (Quectel HW Design + RK3576 BSP driver/firmware/enum) + official LCC land pattern
Wi-Fi buck regulator,U12,C016,Texas Instruments,TPS62825,Wi-Fi dedicated 3.3 V buck — feeds FCU760K VBAT; >=500 mA capability for the 353 mA TX peak (pack note). EN by AON MCU. Avoids routing the radio through 5 V (Phase-3 rule).,R-Temple Compute Board,Fit,QFN 1.5 x 1.5 mm,1.5,1.5,,AI_Glasses_V2:QFN_1.5x1.5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,VSYS to WIFI_3V3,~5 mW loss allocation,sized for FCU760K Tx current,TBD after thermal review,Needs final inductor/cap derating and land-pattern check.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,G05/G06 (inductor/caps per module 353mA TX peak + ripple)
R-Temple Compute Board,U13,C016b,TBD,TPS22917DBVR,Wi-Fi load switch — gates WIFI_3V3 -> FCU760K VBAT with QOD + reverse block. EN by AON MCU.,R-Temple Compute Board,Fit,Package_TO_SOT_SMD:SOT-23-5,,,,Package_TO_SOT_SMD:SOT-23-5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,G05 (turn-on sequence w/ module)
SoC PMIC,U2,C002,Rockchip,RK806S-5,SoC PMIC — generates CPU/GPU/NPU/DDR/IO rails + power sequencing for RK3576. Reuse verified RK3576 power architecture; NOT for AON.,R-Temple Compute Board,HOLD,TBD QFN/BGA variant,,,,AI_Glasses_V2:VERIFY_QFN,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,SOC_5V input; generates RK3576/DDR rails,regulation loss included in compute model,TBD after rail-current budget,TBD after thermal review,"Exact package, height, land pattern and rail sequence are not frozen.",AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,G03 (RK806S MPN/inductors/caps/timing per Radxa/Rockchip FAE)
digital class-D speaker amplifier,U20,C024,Analog Devices,MAX98360A,"Digital Class-D amp — I2S in, mono, low-power shutdown. Direct digital audio chain, no analog codec. Fully power-downable via load switch.",R-Temple Compute Board,Fit,WLP or FC2QFN version TBD,,,,AI_Glasses_V2:VERIFY_WLP_QFN,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,AUDIO_PWR / I2S control,audio average 2-3 mW electronics plus speaker output,depends on speaker impedance and acoustic target,TBD after thermal review,Exact package and EMI/thermal/acoustic layout still need closure.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,PROVISIONAL,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,Verify Z/cavity/EMI/peak power
R-Temple Compute Board,U21,C024b,TBD,TPS22917DBVR,Audio load switch — gates AUDIO_PWR to the amp; EN by AON MCU / SoC.,R-Temple Compute Board,Fit,Package_TO_SOT_SMD:SOT-23-5,,,,Package_TO_SOT_SMD:SOT-23-5,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Amp must be fully power-downable (V1 lesson)
R-Temple Compute Board,U28,C044c,TBD,INA238 (I_SOC_5V),RK3576 island monitor across RS4 — record/AI curves + wake energy.,R-Temple Compute Board,DNP,AI_Glasses_V2:VSSOP-10,,,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A only
R-Temple Compute Board,U29,C044e,TBD,INA238 (I_WIFI),Wi-Fi island monitor across RS5 — FCU760K TX avg vs 353mA peak.,R-Temple Compute Board,DNP,AI_Glasses_V2:VSSOP-10,,,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A only
system memory,U3,C003,TBD,LPDDR4X 4 GB MPN TBD,"System memory — 4 GB LPDDR4X x32, placed adjacent to RK3576. Reuse a Rockchip/Radxa-verified MPN to lower first chip-down risk vs LPDDR5.",R-Temple Compute Board,HOLD,TBD BGA,,,,AI_Glasses_V2:VERIFY_BGA,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,RK806 DDR rails,included in compute model,TBD by selected MPN,TBD after thermal review,"Needs exact AVL MPN, package drawing, ball map and DDR length/escape review.",AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,"G02 (LPDDR4X MPN/topology/placement, DDR review + length report)"
R-Temple Compute Board,U30,C044f,TBD,INA238 (I_AUDIO),Audio island monitor across RS6 — speech avg vs music peak.,R-Temple Compute Board,DNP,AI_Glasses_V2:VSSOP-10,,,,AI_Glasses_V2:VSSOP-10,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,DNP,present in current schematic,DNP; do not treat as release BOM,HOLD/TBD; no verified aligned STEP in V2 KiCad,Power Gate — EVT-A only
